"Label (Grouping)","Median gross rent"
"Arkansas County, Arkansas",""
"    Estimate","572"
"Ashley County, Arkansas",""
"    Estimate","470"
"Baxter County, Arkansas",""
"    Estimate","585"
"Benton County, Arkansas",""
"    Estimate","715"
"Boone County, Arkansas",""
"    Estimate","532"
"Bradley County, Arkansas",""
"    Estimate","547"
"Calhoun County, Arkansas",""
"    Estimate","524"
"Carroll County, Arkansas",""
"    Estimate","556"
"Chicot County, Arkansas",""
"    Estimate","463"
"Clark County, Arkansas",""
"    Estimate","566"
"Clay County, Arkansas",""
"    Estimate","453"
"Cleburne County, Arkansas",""
"    Estimate","608"
"Cleveland County, Arkansas",""
"    Estimate","576"
"Columbia County, Arkansas",""
"    Estimate","517"
"Conway County, Arkansas",""
"    Estimate","498"
"Craighead County, Arkansas",""
"    Estimate","600"
"Crawford County, Arkansas",""
"    Estimate","593"
"Crittenden County, Arkansas",""
"    Estimate","644"
"Cross County, Arkansas",""
"    Estimate","550"
"Dallas County, Arkansas",""
"    Estimate","428"
"Desha County, Arkansas",""
"    Estimate","522"
"Drew County, Arkansas",""
"    Estimate","598"
"Faulkner County, Arkansas",""
"    Estimate","662"
"Franklin County, Arkansas",""
"    Estimate","535"
"Fulton County, Arkansas",""
"    Estimate","458"
"Garland County, Arkansas",""
"    Estimate","662"
"Grant County, Arkansas",""
"    Estimate","654"
"Greene County, Arkansas",""
"    Estimate","568"
"Hempstead County, Arkansas",""
"    Estimate","546"
"Hot Spring County, Arkansas",""
"    Estimate","539"
"Howard County, Arkansas",""
"    Estimate","519"
"Independence County, Arkansas",""
"    Estimate","558"
"Izard County, Arkansas",""
"    Estimate","472"
"Jackson County, Arkansas",""
"    Estimate","482"
"Jefferson County, Arkansas",""
"    Estimate","622"
"Johnson County, Arkansas",""
"    Estimate","538"
"Lafayette County, Arkansas",""
"    Estimate","455"
"Lawrence County, Arkansas",""
"    Estimate","460"
"Lee County, Arkansas",""
"    Estimate","510"
"Lincoln County, Arkansas",""
"    Estimate","475"
"Little River County, Arkansas",""
"    Estimate","475"
"Logan County, Arkansas",""
"    Estimate","509"
"Lonoke County, Arkansas",""
"    Estimate","666"
"Madison County, Arkansas",""
"    Estimate","500"
"Marion County, Arkansas",""
"    Estimate","525"
"Miller County, Arkansas",""
"    Estimate","621"
"Mississippi County, Arkansas",""
"    Estimate","554"
"Monroe County, Arkansas",""
"    Estimate","478"
"Montgomery County, Arkansas",""
"    Estimate","525"
"Nevada County, Arkansas",""
"    Estimate","561"
"Newton County, Arkansas",""
"    Estimate","380"
"Ouachita County, Arkansas",""
"    Estimate","468"
"Perry County, Arkansas",""
"    Estimate","664"
"Phillips County, Arkansas",""
"    Estimate","537"
"Pike County, Arkansas",""
"    Estimate","507"
"Poinsett County, Arkansas",""
"    Estimate","466"
"Polk County, Arkansas",""
"    Estimate","512"
"Pope County, Arkansas",""
"    Estimate","590"
"Prairie County, Arkansas",""
"    Estimate","456"
"Pulaski County, Arkansas",""
"    Estimate","729"
"Randolph County, Arkansas",""
"    Estimate","487"
"St. Francis County, Arkansas",""
"    Estimate","544"
"Saline County, Arkansas",""
"    Estimate","715"
"Scott County, Arkansas",""
"    Estimate","517"
"Searcy County, Arkansas",""
"    Estimate","460"
"Sebastian County, Arkansas",""
"    Estimate","577"
"Sevier County, Arkansas",""
"    Estimate","503"
"Sharp County, Arkansas",""
"    Estimate","546"
"Stone County, Arkansas",""
"    Estimate","483"
"Union County, Arkansas",""
"    Estimate","562"
"Van Buren County, Arkansas",""
"    Estimate","512"
"Washington County, Arkansas",""
"    Estimate","665"
"White County, Arkansas",""
"    Estimate","572"
"Woodruff County, Arkansas",""
"    Estimate","352"
"Yell County, Arkansas",""
"    Estimate","538"
