BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,DAMAGE_PROPERTY_CPI
201601,19,2200,201601,20,300,103160.0,616431,ARKANSAS,5.0,2016,January,Winter Weather,Z,15,IZARD,LZK,2016-01-19 22:00:00,CST-6,2016-01-20 03:00:00,0,0,0,0,0.0,0.0,Public,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",Snowfall amounts of up to an inch were observed across the county. Some light freezing rain was also observed.,CSV,0.0
201601,19,2200,201601,20,300,103160.0,616428,ARKANSAS,5.0,2016,January,Winter Weather,Z,5,BAXTER,LZK,2016-01-19 22:00:00,CST-6,2016-01-20 03:00:00,0,0,0,0,0.0,0.0,Public,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",Snowfall amounts of up to an inch were observed across the county.,CSV,0.0
201601,19,2100,201601,20,300,103160.0,616429,ARKANSAS,5.0,2016,January,Winter Weather,Z,4,MARION,LZK,2016-01-19 21:00:00,CST-6,2016-01-20 03:00:00,0,0,0,0,0.0,0.0,Public,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",Snowfall amounts of up to an inch were observed across the county.,CSV,0.0
201601,20,0,201601,20,500,103160.0,616433,ARKANSAS,5.0,2016,January,Winter Weather,Z,25,JACKSON,LZK,2016-01-20 00:00:00,CST-6,2016-01-20 05:00:00,0,0,0,0,0.0,0.0,Public,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",Snowfall amounts of up to an inch were observed across the county. Some light freezing rain was also observed.,CSV,0.0
201601,19,2300,201601,20,500,103160.0,616432,ARKANSAS,5.0,2016,January,Winter Weather,Z,16,INDEPENDENCE,LZK,2016-01-19 23:00:00,CST-6,2016-01-20 05:00:00,0,0,0,0,0.0,0.0,Public,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",Snowfall amounts of up to an inch were observed across the county. Some light freezing rain was also observed.,CSV,0.0
201601,19,1900,201601,19,2300,103160.0,616420,ARKANSAS,5.0,2016,January,Winter Weather,Z,6,FULTON,LZK,2016-01-19 19:00:00,CST-6,2016-01-19 23:00:00,0,0,0,0,0.0,0.0,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",A light glaze of freezing rain caused hazardous travel conditions over portions of Fulton County. Several roads were closed due to the icy conditions.,CSV,0.0
201601,19,2200,201601,20,300,103160.0,616422,ARKANSAS,5.0,2016,January,Winter Weather,Z,3,BOONE,LZK,2016-01-19 22:00:00,CST-6,2016-01-20 03:00:00,0,0,0,0,0.0,0.0,Public,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",Snowfall amounts of up to 2 inches were observed across the county.,CSV,0.0
201601,19,2000,201601,20,0,103160.0,616421,ARKANSAS,5.0,2016,January,Winter Weather,Z,7,SHARP,LZK,2016-01-19 20:00:00,CST-6,2016-01-20 00:00:00,0,0,0,0,0.0,0.0,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",A light glaze of freezing rain caused hazardous travel conditions over portions of Sharp County. Several roads were closed due to the icy conditions.,CSV,0.0
201601,19,2100,201601,20,300,103160.0,616423,ARKANSAS,5.0,2016,January,Winter Weather,Z,12,NEWTON,LZK,2016-01-19 21:00:00,CST-6,2016-01-20 03:00:00,0,0,0,0,0.0,0.0,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",Snowfall amounts of up to an inch were observed across the county.,CSV,0.0
201601,19,2200,201601,20,400,103160.0,616424,ARKANSAS,5.0,2016,January,Winter Weather,Z,13,SEARCY,LZK,2016-01-19 22:00:00,CST-6,2016-01-20 04:00:00,0,0,0,0,0.0,0.0,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"Light freezing rain and some snowfall occurred across portions of northern Arkansas on the evening of the 19th into the morning hours of the 20th. The light freezing rain caused hazardous driving conditions in Fulton and Sharp Counties. Snowfall amounts up to 2 inches were observed in Van Buren, Searcy and Boone Counties.",Snowfall amounts of up to 2 inches were observed across the county.,CSV,0.0
